# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other;Other;Other;Other;Other	6.375	2.61538461538	11.3571428571	9.41666666667	3.5	4.15384615385	3.08333333333	6.46666666667	2.875	2.9	4.0	5.4	2.375	5.6	4.33333333333	6.3	15.4	2.0	6.08333333333	32.5555555556	3.38461538462	6.375	3.77777777778	7.5	2.0	6.75	3.66666666667	1.5	6.0	3.16666666667	6.21428571429	9.63636363636
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;Other	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	7.0	0.0	0.0	0.0	0.2	0.0	0.5	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	21.625	0.0	0.0	0.0	0.0	0.0769230769231	0.0	0.0	0.5	0.0	0.0	2.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	417.5	0.0	0.0	0.0	24.1	0.0	16.4166666667	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis	0.125	0.153846153846	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	211.0	0.0	0.0	0.0	0.0	0.0	240.083333333	0.0	0.0
k__Bacteria;Other;Other;Other;Other;Other;Other	152.0	133.153846154	90.3571428571	39.8333333333	36.75	157.461538462	16.4166666667	34.2666666667	94.25	167.5	46.1	43.2	75.75	68.8	331.166666667	49.7	35.6	133.4	135.916666667	218.0	145.461538462	115.0	80.1111111111	203.0	120.5	193.5	25.75	77.2	84.0	267.0	164.357142857	90.8181818182
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other;Other	0.375	0.0769230769231	0.357142857143	1.08333333333	0.0	0.615384615385	0.0833333333333	0.133333333333	0.25	0.1	0.1	1.1	0.0	0.8	0.583333333333	0.4	0.0	1.4	0.333333333333	0.444444444444	0.0769230769231	0.0	0.666666666667	1.5	0.375	0.5	0.416666666667	0.3	0.333333333333	0.25	0.142857142857	0.727272727273
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other;Other	0.0	1.46153846154	1.21428571429	0.0833333333333	0.666666666667	0.384615384615	0.416666666667	0.0666666666667	0.125	0.3	0.7	1.9	0.75	1.2	0.583333333333	0.1	0.1	1.6	0.25	0.333333333333	0.615384615385	0.5	0.444444444444	2.75	0.5	0.0833333333333	1.0	0.3	0.333333333333	0.333333333333	0.142857142857	2.18181818182
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._oral_taxon_183	0.0	3.69230769231	2.07142857143	0.666666666667	10.5833333333	4.30769230769	0.166666666667	3.6	2.75	0.1	3.3	1.7	0.125	0.8	1.0	0.2	0.2	9.3	0.0833333333333	5.22222222222	0.0769230769231	0.625	5.0	1.75	0.0	1.83333333333	4.08333333333	0.0	1.0	0.0	0.785714285714	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;Other	0.125	0.230769230769	0.0714285714286	0.166666666667	0.166666666667	0.230769230769	0.0	0.266666666667	0.0	0.0	0.0	0.2	0.125	0.0	0.0833333333333	0.1	0.2	0.6	0.0	0.444444444444	0.0	0.125	0.444444444444	1.75	0.0	0.0833333333333	0.25	0.0	0.166666666667	0.166666666667	0.0714285714286	0.0909090909091
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_dentalis	0.0	0.0769230769231	0.0	0.0	0.0	0.0	0.0	0.0666666666667	0.0	0.0	0.1	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.1	0.0	0.111111111111	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.166666666667	0.0	0.0833333333333	0.0	0.0	0.181818181818
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gerencseriae	0.125	0.0	0.0	0.0833333333333	0.25	0.230769230769	0.0	0.0666666666667	0.0	0.1	0.1	0.3	0.125	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.153846153846	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0833333333333	0.0714285714286	0.363636363636
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii	0.625	0.923076923077	1.42857142857	3.25	1.58333333333	0.538461538462	0.0833333333333	0.733333333333	2.375	0.7	0.3	2.7	0.125	1.4	2.66666666667	0.5	1.3	1.4	0.25	3.22222222222	1.15384615385	0.125	1.88888888889	1.25	1.125	0.75	1.41666666667	1.2	4.33333333333	1.41666666667	1.85714285714	0.454545454545
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hongkongensis	0.0	0.230769230769	0.0	0.166666666667	0.166666666667	0.615384615385	0.0	0.133333333333	0.125	0.0	0.1	0.1	0.0	0.0	0.25	0.0	0.0	0.7	0.0833333333333	0.666666666667	0.307692307692	0.375	0.222222222222	0.0	0.0	0.0833333333333	0.0833333333333	0.0	0.0	0.0833333333333	0.0714285714286	0.545454545455
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_johnsonii	0.0	0.307692307692	0.642857142857	0.416666666667	1.0	0.461538461538	0.0833333333333	0.733333333333	0.5	0.0	0.8	0.7	0.125	0.6	0.0	0.0	0.3	1.0	0.0	0.888888888889	0.692307692308	0.125	0.444444444444	3.5	0.0	0.0	0.0833333333333	0.3	0.166666666667	0.0833333333333	0.5	1.27272727273
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_massiliensis	0.0	0.692307692308	0.0714285714286	0.166666666667	0.416666666667	0.230769230769	0.0	0.8	1.0	0.2	0.2	3.1	0.5	0.4	0.0833333333333	0.2	0.6	1.2	0.333333333333	0.888888888889	0.384615384615	0.5	1.66666666667	10.5	0.0	0.75	0.583333333333	1.2	0.25	1.08333333333	0.571428571429	0.272727272727
